sigla;iata;nombre;municipio;departamento;categoria;latitud;longitud;propietario;explotador;longitud_pista;ancho_pista;pbmo;orientacion;elevacion;resolucion;fecha_construccion;fecha_vigencia;clase;tipo;numero_vuelos_origen;gcd_departamental;gcd_municipal,,,
HCO;NA;EL CAIRO;Hato Corozal;Casanare;Aeródromo;6.0647;-71.2044;ELVIRA SARMIENTO;ELVIRA SARMIENTO;700;15;2000;09 | 27;443;5835;NA;04/12/2016;1A;Privado;111;85;85125,,,
HCZ;NA;HATO LA AURORA;Hato Corozal;Casanare;Aeródromo;6.0331;-71.3819;LIGIA PLATA Y OTRO;BARRAGAN PLATA JORGE;800;15;3500;05 | 23;485;6728;NA;42386;1A;Privado;26;85;85125,,,
HEA;NA;HELIVALLE;Palmira;Valle del Cauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;76;76520,,,
HEV;NA;LA ELVIRA;Obando;Valle del Cauca;Aeródromo;4.6159;-75.9659;FUMINORTE S.A.S.;FUMINORTE S.A.S.;740;12;2000;12 | 30;3083;5965;NA;43092;1A;Fumigación;NA;76;76497,,,
HLE;NA;HATO LA ESPERANZA;Puerto Gaitán;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;50;50568,,,
HOA;NA;HOSPITAL DE CALDAS;Manizales;Caldas;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;17;17001,,,
HOB;NA;HONDURAS;María la Baja;Bolívar;Aeródromo;9.9722;-75.3742;INCORA LTDA;EL MISMO;800;10;2000;18 | 36;50;804;NA;NA;1A;Público;NA;13;13442,,,
HOP;NA;HATO DE OPIA;Ibagué;Tolima;Aeródromo;4.4232;-75.0013;INBERAR LTDA.;CRUZ VERDE;540;10;2000;14 | 32;2703;1735;NA;43310;1A;Fumigación;1;73;73001,,,
HRA;HRR;LA HERRERA;Rioblanco;Tolima;Aeródromo;3.2167;-75.85;MUNICIPIO;MUNICIPIO;430;10;5760;07 | 25;5740;3660;NA;NA;1A;Público;NA;73;73616,,,
HTC;NA;EL DANUBIO;Hato Corozal;Casanare;Aeródromo;6.2611;-71.2247;CARMEN DELIA DELGADO;CARMEN DELIA DELGADO;740;15;2400;09 | 27;440;4315;NA;42297;1A;Privado;35;85;85125,,,
HTZ;HTZ;HATO COROZAL;Hato Corozal;Casanare;Aeródromo;6.1535;-71.7616;AEROCIVIL;AEROCIVIL;1040;14;12202;07 | 25;830;502;05/05/1967;NA;2C;Aerocivil;195;85;85125,,,
IBE;IBE;PERALES;Ibagué;Tolima;Nacional;4.4217;-75.1336;AEROCIVIL;AEROCIVIL;1800;30;39/F/C/X/T;14 | 32;3114;984;02/02/1987;NA;3C;Aerocivil;36819;73;73001,,,
IDA;NA;CESAR GAVIRIA TRUJILLO;Inírida;Guainía;Regional;3.8536;-67.9063;GOBERNACION;GOBERNACION;1930;30;39/F/D/X/T;17 | 35;311;499;NA;NA;3C;Público;4942;94;94001,,,
IGO;IGO;JAIME ORTIZ BETANCUR;Chigorodó;Antioquia;Aeródromo;7.6772;-76.683;MUNICIPIO;MUNICIPIO;840;18;6400;16 | 34;170;4545;17/08/2012;NA;1A;Público;250;5;5172,,,
INA;NA;INDIRA;Turbo;Antioquia;Aeródromo;7.9444;-76.6969;UNIBAN;CALIMA S.A.;870;15;4500;01 | 19;33;1425;NA;42479;1A;Fumigación;5;5;5837,,,
IPI;IPI;SAN LUIS;Aldana;Nariño;Internacional;0.8619;-77.6718;AEROCIVIL;AEROCIVIL;1770;28;36/F/B/X/T;06 | 24;9740;455;19/05/1969;NA;3C;Aerocivil;4193;52;52022,,,
IRH;NA;IRHO;San Alberto;Cesar;Aeródromo;7.7345;-73.4343;INDUPALMA LTDA.;INDUPALMA LTDA.;730;15;5000;10 | 28;305;170;NA;12/02/2018;1A;Fumigación;561;20;20710,,,
ISP;NA;ISA;Palmira;Valle del Cauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;76;76520,,,
ITG;NA;LA PROVIDENCIA;Ituango;Antioquia;Aeródromo;7.1653;-75.7253;MUNICIPIO;MUNICIPIO;750;12;6000;15 | 33;5166;39;NA;01/02/2018;1A;Público;1127;5;5361,,,
ITU;NA;ITUANGO;Ituango;Antioquia;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;5;5361,,,
JAB;NA;JABALCON;Saldaña;Tolima;Aeródromo;3.8422;-75.0336;INCORA LTDA;INCORA;740;10;2000;18 | 36;984;984;NA;NA;1A;Público;2;73;73671,,,
JDI;NA;UDELVA - CA;Jamundí;Valle del Cauca;Aeródromo;3.2354;-76.5047;ERNESTO ANDRADE Y OTROS;CLUB AEREO DEPORTIVO UL.;320;10;400;08 | 26;3200;4502;NA;04/09/2015;UL;Privado;NA;76;76364,,,
JUR;JUO;JURADO;Juradó;Chocó;Aeródromo;7.0731;-77.7285;MUNICIPIO;MUNICIPIO;800;20;6671;13 | 31;13;1503;NA;NA;1A;Público;552;27;27372,,,
LAA;NA;LA BASTILLA;Guamo;Tolima;Aeródromo;4.0899;-74.9071;INVERSIONES BAZARA S.A.;SANIDAD VEGETAL CRUZ;700;10;2000;18 | 36;1112;5385;NA;05/11/2017;1A;Fumigación;3;73;73319,,,
LAB;NA;LA  BARQUEREÑA;Nunchía;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;85;85225,,,
LAC;NA;LA CABAÑA;Cumaral;Meta;Aeródromo;4.3019;-73.3697;HACIENDA LA CABAÑA;HACIENDA LA CABAÑA;1000;10;5500;09 | 27;175;688;NA;07/04/2018;1A;Privado;7;50;50226,,,
LAD;NA;LA DILIA;Agustín Codazzi;Cesar;Aeródromo;9.8985;-73.4221;MURGAS MUÑOZ HERMANOS;CARLOS R. MURGAS G.;800;15;5000;06 | 24;312;4625;NA;01/10/2010;1A;Privado;7;20;20013,,,
LAE;NA;LA PALESTINA;Palestina;Caldas;Aeródromo;5.0333;-75.6204;MUNICIPIO DE MANIZALES;INFICALDAS-INFIMANIZALES;1800;30;NA;02 | 20;4723;5364;NA;NA;4C;Público;1;17;17524,,,
LAF;NA;LA FUGA;Puerto López;Meta;Aeródromo;4.0564;-72.2481;INVERSIONES CALDERON DOUSDEBES;CARLOS A. GUTIERREZ C.;870;10;3000;10 | 28;656;5963;NA;43087;1A;Privado;NA;50;50573,,,
LAH;NA;LA CAMPECHANA;Maní;Casanare;Aeródromo;4.8871;-72.3151;JOSE A. ROSAS BARRERA;FUMIVILLA LTDA;800;10;2000;05 | 23;609;2138;NA;42518;1A;Fumigación;1;85;85139,,,
LAJ;NA;LAJITAS;Puerto López;Meta;Aeródromo;4.1564;-72.9076;COMPENSAR;COMPENSAR;800;15;5000;08 | 26;787;6350;NA;04/12/2015;1A;Privado;6;50;50573,,,
LAL;NA;CRAVO SUR (antes la pista);Orocué;Casanare;Aeródromo;4.8274;-71.6626;J.LONDOÑO R Y CIA;J.LONDOÑO R Y CIA;800;18;4500;05 | 23;482;5384;NA;04/11/2017;1A;Privado;52;85;85230,,,
LAM;NA;LA COLINA;Villavicencio;Meta;Aeródromo;4.0644;-73.3839;ERNESTO PEDRAZA GALEANO;AEROTEC LTDA.;850;19;6250;09 | 27;1058;691;NA;43210;1A;Fumigación;145;50;50001,,,
LAO;NA;LOS ALMENDROS;Carepa;Antioquia;Aeródromo;7.8083;-76.6519;SANVEL. LTDA.;FUMIGARAY;700;16;4000;02 | 20;134;1314;NA;42812;1A;Fumigación;32;5;5147,,,
LAP;NA;LA CARPETA;Paz de Ariporo;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;85;85250,,,
LAR;NA;LA ARROBLEDA;Caloto;Cauca;Aeródromo;3.1023;-76.419;INCUBADORA SANTANDER;INCUBADORA SANTANDER;780;15;5700;14 | 32;3320;6472;NA;02/12/2016;1A;Privado;1264;19;19142,,,
LAT;NA;LA MATUA;San Diego;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;20;20750,,,
LAU;NA;LAS JUANAS;Castilla la Nueva;Meta;Aeródromo;3.8233;-73.5322;GILBERTO GALINDO M.;SADELL  LTDA.;690;10;3000;08 | 26;1082;4735;NA;42272;1A;Fumigación;7;50;50150,,,
LAV;NA;LA VICTORIA;La Paz;Cesar;Aeródromo;10.0621;-73.2583;AMA LTDA.;AMA LTDA.;800;18;2000;14 | 32;300;3939;NA;42995;1A;Fumigación;2;20;20621,,,
LAY;NA;LA YE;Ciénaga;Magdalena;Aeródromo;11.0038;-74.2133;INVERSIONES AGROPECUARIAS DEL LITORAL LTDA.;CALIMA S.A.;930;18;4500;16 | 34;55;3943;NA;NA;1A;Fumigación;NA;47;47189,,,
LBR;NA;LAS BRISAS;Villavicencio;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;114;50;50001,,,
LCB;NA;LA CAROLINA;Córdoba;Bolívar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;13;13212,,,
LCH;LCR;VIRGILIO BARCO VARGAS;La Chorrera;Amazonas;Regional;-1.4564;-72.8011;CAJA AGRARIA;COMISARIA DEL AMAZONAS;1500;21;15/F/B/X/U;04 | 22;593;916;NA;NA;2A;Público;1754;91;91405,,,
LCI;NA;LA CACICA;San Martín;Cesar;Aeródromo;7.9861;-73.5779;LA CACICA LTDA.;LA CACICA LTDA.;600;18;3000;13 | 31;265;5525;NA;03/12/2017;1A;Privado;24;20;20770,,,
LCM;NA;LA CANDELARIA;Fuente de Oro;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;50;50287,,,
LCT;NA;LETICIA;Alvarado;Tolima;Aeródromo;4.463;-75.0359;ALVARO SIERRA FIGUEROA;SANIDAD VEGETAL CRUZ;840;10;2000;06 | 24;860;6352;NA;43156;1A;Fumigación;17;73;73026,,,
LEB;NA;LA GAVIOTA;Plato;Magdalena;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;47;47555,,,
LEM;NA;LA ESMERALDA;Villavicencio;Meta;Aeródromo;4.0883;-73.3678;GILMA LOZANO DE G.;ASAM LTDA;700;20;2000;04 | 22;984;1581;NA;42869;1A;Fumigación;11;50;50001,,,
LET;LET;ALFREDO VASQUEZ COBO;Leticia;Amazonas;Internacional;-4.1918;-69.9422;AEROCIVIL;AEROCIVIL;2010;40;43.83/F/B/X/T;03 | 21;314;984;NA;NA;3C;Aerocivil;16372;91;91001,,,
LEV;NA;LA GAVIOTA;La Primavera;Vichada;Aeródromo;4.5505;-70.9254;GOBERNACION;CENTRO LAS GAVIOTAS;1180;18;12202;06 | 24;606;5796;NA;NA;2B;Público;658;99;99524,,,
LFA;NA;LA FLORA;Yopal;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;85;85001,,,
LFE;NA;LA FE;Ciénaga;Magdalena;Aeródromo;10.861;-74.1714;MARCO A. GIL PINTO;ASA S. EN C.;800;10;4500;18 | 36;56;4221;NA;NA;1A;Fumigación;3;47;47189,,,
LFL;NA;LAS FLORES;La Paz;Cesar;Aeródromo;10.0967;-73.2337;SOCIEDAD OLEOFLORES S.A.;SOC. OLEOFLORES S.A.;1300;18;5670;01 | 19;310;2134;NA;06/05/2017;2A;Privado;133;20;20621,,,
LFT;NA;LA FLORESTA;Yaguará;Huila;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;41;41885,,,
LGA;NA;LAS GARZAS;Prado;Tolima;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;73;73563,,,
LGL;NA;BELLA CRUZ -SAN JUAN;La Gloria;Cesar;Aeródromo;8.6233;-73.7319;SOCIEDAD MR. INVERSIONES LTDA;FASE CUBIDES Y CIA.;750;10;4000;10 | 28;135;5273;NA;03/01/2011;1A;Fumigación;76;20;20383,,,
LGM;NA;LA GAVIOTA MA;Plato;Magdalena;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24;47;47555,,,
LGP;NA;LAGUNA PAVON;San José del Guaviare;Guaviare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;108;95;95001,,,
LGT;NA;LAS GAVIOTAS;Puerto Lleras;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33;50;50577,,,
LGV;NA;LOS GAVILANES;Guamal;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;50;50318,,,
LHC;NA;LOS HALCONES;Fuente de Oro;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;50;50287,,,
LJB;NA;EL BORREGO;La Jagua de Ibirico;Cesar;Aeródromo;9.5851;-73.4519;DRUMMOND LTD.;DRUMMOND LTD.;1500;29;19/F/C/X/T;18 | 36;253;5388;28/10/2014;43057;3C;Privado;1288;20;20400,,,
LJC;NA;LA JAGUA DE IBIRICO;El Paso;Cesar;Aeródromo;9.6206;-73.5364;FADELCE LTDA;FADELCE LTDA.;880;20;4000;05 | 23;331;3055;NA;42609;1A;Fumigación;86;20;20250,,,
LJD;NA;CERRO DE PIEDRA;La Jagua de Ibirico;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1501;20;20400,,,
LJI;NA;NUEVA GRANADA;La Jagua de Ibirico;Cesar;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;207;20;20400,,,
LJV;NA;LA JAULA;La Primavera;Vichada;Aeródromo;5.3089;-69.8314;MARIA D. SALAZAR Y OTROS;MARIA C. SALAZAR;1100;20;5000;04 | 22;356;275;NA;43144;1A;Privado;25;99;99524,,,
LLI;NA;LAS DELICIAS;San Luis de Palenque;Casanare;Aeródromo;5.2075;-71.8136;PERENCO COLOMBIA LIMITED;PERENCO COLOMBIA LIMITED;600;17;12202;05 | 23;460;933;NA;43218;1A;Privado;3183;85;85325,,,
LLM;NA;LOMA LINDA;Puerto Lleras;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;50;50577,,,
LLO;NA;CALENTURITAS;Recetor;Casanare;Aeródromo;9.6523;-73.4951;C.I.PRODECO;C.I. PRODECO;700;18;6400;03 | 21;190;996;NA;07/05/2018;2A;Privado;4331;85;85279,,,
LMA;NA;JORGE ISAACS (LA MINA);Maicao;La Guajira;Regional;11.2326;-71.4893;CARBONES DEL CERREJON;CARBONES DEL CERREJON;1700;45;41/F/C/X/T;10 | 28;328;831;NA;43218;3D;Privado;10262;44;44430,,,
LMC;LMC;LA MACARENA;La Macarena;Meta;Regional;2.1736;-73.7861;MUNICIPIO;MUNICIPIO;1600;15;26000;17 | 35;770;1940;NA;NA;2C;Público;27136;50;50350,,,
LME;NA;LOS MOCHUELOS;Cereté;Córdoba;Aeródromo;8.9101;-75.7996;FASE LTDA;FASE. LTDA.;800;15;4000;08 | 26;466;5528;NA;43067;1A;Fumigación;3;23;23162,,,
LML;NA;LAS MALVINAS;Puerto Gaitán;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;50;50568,,,
LMN;NA;LOS MULATOS;El Charco;Nariño;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;624;52;52250,,,
LMR;NA;LOS MORROS;San Onofre;Sucre;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;70;70713,,,
LMS;NA;LOS MANGOS;Saldaña;Tolima;Aeródromo;3.9158;-74.9819;JORGE ALVIRA GAMBOA;FUMIVILLA;800;10;2000;10 | 28;1150;6307;NA;41987;1A;Fumigación;NA;73;73671,,,
LMT;NA;LA MARIA;Purificación;Tolima;Aeródromo;3.8825;-74.9871;ALIANSA S.A.S.;FIBA S.A.;800;10;2000;04 | 22;1059;1584;NA;02/04/2017;1A;Fumigación;NA;73;73585,,,
LOB;NA;LOS BALTICOS;Puerto López;Meta;Aeródromo;4.1286;-73.1319;FERNANDO TOVAR TAMAYO;ECO LTDA.;650;10;2000;07 | 25;686;3024;NA;11/08/2014;1A;Fumigación;1;50;50573,,,
LOC;NA;LOPEZ DE MICAI;López de Micay;Cauca;Aeródromo;2.9539;-77.195;MUNICIPIO;MUNICIPIO;800;16;2300;09 | 27;340;443;NA;NA;1A;Público;181;19;19418,,,
LOM;NA;LOS MILAGROS;Maní;Casanare;Aeródromo;4.7981;-72.2342;FUMIAGRIC LTDA.;AGIL LTDA.;750;10;2000;07 | 25;410;2005;NA;42505;1A;Fumigación;141;85;85139,,,
LPA;NA;LA PALMA;Bosconia;Cesar;Aeródromo;9.8394;-73.8672;HERNAN DIEGO PALAU E.;SIMON LOZADA FOMEQUE;940;10;2000;07 | 25;121;3825;NA;08/08/2016;1A;Fumigación;33;20;20060,,,
LPD;NA;LA PEDRERA;La Pedrera;Amazonas;Aeródromo;-1.3243;-69.5816;GOBERNACION;EL MISMO;1050;20;26000;15 | 33;262;399;NA;NA;2B;Público;2073;91;91407,,,
LPG;NA;EL GAVILAN;La Primavera;Vichada;Aeródromo;5.2554;-69.7342;FRANCISCO MATIZ SALAZAR;FRANCISCO MATIZ S.;1100;18;4800;15 | 33;332;5915;NA;03/12/2015;1A;Privado;18;99;99524,,,
LPL;NA;LOS PLANES;Apartadó;Antioquia;Aeródromo;7.834;-76.6453;UNIBAN;CALIMA S.A.;730;15;4500;02 | 20;108;1425;NA;42479;1A;Fumigación;79;5;5045,,,
LPR;NA;EL CIMARRON;La Primavera;Vichada;Aeródromo;5.9371;-69.2579;PRESTIGE COLOMBIA LTDA;PRESTIGE COLOMBIA L;1000;15;3500;10 | 28;318;4740;NA;42260;1A;Privado;58;99;99524,,,
LPS;NA;LA PONDEROSA;Puerto Wilches;Santander;Aeródromo;7.4614;-73.7464;PALMAS MONTERREY S.A.;PALMAS MONTERREY;870;15;4000;06 | 24;295;2087;NA;41407;1A;Privado;22;68;68575,,,
LPV;NA;RANCHO ALEGRE;La Primavera;Vichada;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;235;99;99524,,,
LQM;NA;CAUCAYA;Puerto Leguízamo;Putumayo;Regional;-0.1823;-74.7708;MUNICIPIO;MUNICIPIO;1170;23;28000;12 | 30;609;6268;NA;NA;2B;Público;5810;86;86573,,,
LRA;NA;SAN JOSE;Lérida;Tolima;Aeródromo;4.911;-74.889;HAROLD IVAN BENAVIDES;FIBA LTDA;680;10;2000;15 | 33;866;4311;NA;42261;1A;Fumigación;11;73;73408,,,
LRI;NA;HACIENDA GARCIA;Lérida;Tolima;Aeródromo;4.8531;-74.8892;ALFONSO GUTIERREZ DUSSAN;ALFONSO GUTIERREZ DUSSAN;550;10;2000;03 | 21;1085;6475;NA;42702;1A;Privado;1;73;73408,,,
LSI;NA;LA SIERRITA;Chiriguaná;Cesar;Aeródromo;9.3867;-73.5089;CARLOS A. CAMARGO C.;FADELCE LTDA;890;10;2000;05 | 23;197;999;NA;42079;1A;Fumigación;NA;20;20178,,,
LTA;NA;LAS TAPIAS;Tamalameque;Cesar;Aeródromo;8.6781;-73.7694;ACBF Y CIA.;FELIPE D'ACOSTA M.;850;18;3000;10 | 28;131;6123;NA;06/01/2018;1A;Privado;28;20;20787,,,
LTB;NA;LAS GAVIOTAS;La Tebaida;Quindío;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;63;63401,,,
LVB;NA;LA VEGA;Zambrano;Bolívar;Aeródromo;9.8552;-74.8918;INVERSIONES AGRORIOS S.A.;INVER. AGRORIOS S.A.;1160;20;7250;10 | 28;656;5234;NA;43025;2A;Privado;4;13;13894,,,
LVC;NA;LA MESA;La Victoria;Valle del Cauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;76;76403,,,
LVE;NA;LOS VENADOS;Puerto López;Meta;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28;50;50573,,,
MAA;NA;MATA DE AGUA;Paz de Ariporo;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;85;85250,,,
MAG;NA;MANAURE;Manaure;La Guajira;Aeródromo;11.7861;-72.4166;CONCESION DE SALINAS-IFI;CONCESION DE SALINAS-IFI;1332;35;12202;06 | 24;15;2989;NA;NA;2C;Privado;11;44;44560,,,
MAI;NA;CAMPO ESTERO;Maní;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;272;85;85139,,,
MAL;NA;MALABARES;Trinidad;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;85;85430,,,
MAN;NA;CASANARE;Maní;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;85;85139,,,
MAP;NA;MAPIRIPAN;Mapiripán;Meta;Aeródromo;2.8973;-72.141;MUNICIPIO;MUNICIPIO;1200;20;12200;16 | 34;670;5517;NA;NA;2B;Público;5691;50;50325,,,
MBO;NA;MONTERREY;Zambrano;Bolívar;Aeródromo;9.7372;-74.8291;PIZANO S.A.;PIZANO S.A.;1000;15;5000;03 | 21;75;7145;NA;42365;2A;Privado;50;13;13894,,,
MBQ;NA;BOCOA QUERARI;Mitú;Vaupés;Aeródromo;1.5975;-70.7994;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;440;10;1650;13 | 31;620;3423;NA;NA;1A;Público;293;97;97001,,,
MCG;NA;MORICHAL;Papunahua;Vaupés;Aeródromo;1.9072;-70.7619;MUNICIPIO;MUNICIPIO;800;30;5500;13 | 31;648;2989;NA;NA;1B;Público;72;97;97777,,,
MCH;NA;MOCHUELO;Cravo Norte;Arauca;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;81;81220,,,
MCJ;MCJ;MAICAO;Maicao;La Guajira;Aeródromo;11.3833;-72.2333;MUNICIPIO;MUNICIPIO;1600;30;12202;06 | 24;160;02-1304;NA;NA;3C;Público;26;44;44430,,,
MCL;NA;CAÑO COLORADO;Mitú;Vaupés;Aeródromo;0.365;-70.4433;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;500;15;5000;18 | 36;650;3423;NA;NA;1A;Público;313;97;97001,,,
MCO;NA;MACOCOBA;Puerto Carreño;Vichada;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;99;99001,,,
MCP;NA;CACHIPORRO;Mitú;Vaupés;Aeródromo;0.5542;-71.9264;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;670;10;12202;03 | 21;650;3423;NA;NA;1A;Público;188;97;97001,,,
MDA;NA;INGENIO INCAUCA (C.A);Miranda;Cauca;Aeródromo;3.2687;-76.3337;INGENIO DEL CAUCA S.A.;INCAUCA.S.A. - ASOCAÑA;250;10;500;12 | 30;3314;2955;NA;05/08/2015;1A;Fumigación;99;19;19455,,,
MDE;MDE;JOSE M. CORDOVA;Rionegro;Antioquia;Internacional;6.1645;-75.423;AEROCIVIL;EN CONCESION-SOACN(Sociedad Operadora de Aeropuertos Centro Norte);3500;45;108 F/C/W/T;18 | 36;6980;605;NA;NA;4E;Aerocivil;208122;5;5615,,,
MDR;NA;PIEDRA ÑI;Mitú;Vaupés;Aeródromo;-0.1089;-70.3272;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;420;10;5000;10 | 28;500;3423;NA;NA;1A;Público;1521;97;97001,,,
MED;MND;MEDINA;Medina;Cundinamarca;Aeródromo;4.4841;-73.345;MUNICIPIO;MUNICIPIO;1060;15;5000;15 | 33;1500;3660;NA;NA;2A;Público;950;25;25438,,,
MFR;MFB;MONFORT;Mitú;Vaupés;Aeródromo;0.625;-69.7494;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;620;20;12202;17 | 35;650;3423;NA;NA;1A;Público;798;97;97001,,,
MFS;MFS;MIRAFLORES;Miraflores;Guaviare;Aeródromo;1.3377;-71.9507;MUNICIPIO;MUNICIPIO;1320;25;25000;02 | 20;730;21;30/01/1957;NA;3B;Público;4188;95;95200,,,
MGN;MGN;BARACOA;Magangué;Bolívar;Aeródromo;9.2849;-74.8465;AEROCIVIL;AEROCIVIL;1410;20;33112;11 | 19;195;352;17/05/1968;NA;2B;Aerocivil;560;13;13430,,,
MGO;NA;SAN GERARDO;Mitú;Vaupés;Aeródromo;0.7697;-70.2847;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;410;15;1650;06 | 24;540;3423;NA;NA;1A;Público;205;97;97001,,,
MGP;NA;MAGUI PAYAN;Magüí;Nariño;Aeródromo;1.7742;-78.1914;MUNICIPIO;EL MUNICIPIO;680;10;5000;02 | 20;213;4006;NA;NA;1A;Público;1;52;52427,,,
MGU;NA;SAN MIGUEL;Mitú;Vaupés;Aeródromo;-0.0039;-70.4972;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;540;15;1650;17 | 35;650;3423;NA;NA;1A;Público;709;97;97001,,,
MIB;NA;BELEN DE INAMBU;Mitú;Vaupés;Aeródromo;0.4708;-70.1847;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;460;10;1650;12 | 30;650;3423;NA;NA;1A;Público;180;97;97001,,,
MIC;NA;IBACABA;Mitú;Vaupés;Aeródromo;0.9703;-69.213;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;440;15;1650;11 | 19;600;45;NA;NA;1A;Público;134;97;97001,,,
MII;NA;MANI;Maní;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20;85;85139,,,
MIN;NA;DUMACITA;Maní;Casanare;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;85;85139,,,
MIS;NA;SANTA ISABEL;Mitú;Vaupés;Aeródromo;-0.1178;-70.1931;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;330;10;1650;16 | 34;465;3423;NA;NA;1A;Público;486;97;97001,,,
MIT;NA;WACARICUARA;Mitú;Vaupés;Aeródromo;0.2;-70.225;MUNICIPIO;MUNICIPIO;850;25;12202;02 | 20;500;984;NA;NA;1A;Público;2113;97;97001,,,
MKA;NA;KAMANAOS;Mitú;Vaupés;Aeródromo;1.7261;-69.8453;RESGUARDO INDIGENA;GOBERNACION DEL VAUPES;400;15;1650;09 | 27;670;3423;NA;NA;1B;Público;856;97;97001,,,
MLG;NA;JERONIMO DE AGUAYO;Málaga;Santander;Aeródromo;6.7059;-72.7304;MUNICIPIO;MUNICIPIO;1000;16;5670;15 | 33;6705;11;NA;NA;2A;Público;9876;68;68432,,,
MLR;NA;TOLEMAIDA;Melgar;Tolima;Aeródromo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3950;73;73449,,,
